setting,method,seed,round,group,expected_pairs,observed_pairs,cosine_mean,cosine_sample_sd,cosine_min,cosine_max,update_stage,status
backdoor,fedavg,44,1,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,2,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,2,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,2,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,3,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,3,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,3,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,4,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,4,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,4,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,5,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,5,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,5,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,6,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,6,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,6,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,7,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,7,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,7,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,8,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,8,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,8,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,9,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,9,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,9,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
backdoor,fedavg,44,10,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,10,attacker_honest,4,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
backdoor,fedavg,44,10,sybil_sybil,0,0,,,,,submitted_after_attack_before_server_aggregation,not_applicable
sybil_backdoor,fedavg,42,1,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,1,attacker_honest,12,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,1,sybil_sybil,3,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,2,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,2,attacker_honest,12,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,2,sybil_sybil,3,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,3,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,3,attacker_honest,12,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,3,sybil_sybil,3,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
sybil_backdoor,fedavg,42,4,honest_honest,6,0,,,,,submitted_after_attack_before_server_aggregation,missing_update_vectors
