round,client_i,client_j,cosine_similarity,pair_type
6,2,5,0.2954007853579905,sybil_honest
6,2,6,0.2890023993962115,sybil_honest
6,3,4,0.2580084492123887,honest_honest
6,3,5,-0.1152549703718101,sybil_honest
6,3,6,-0.10334046293476275,sybil_honest
6,4,5,-0.09137041034720612,sybil_honest
6,4,6,-0.07853918501166839,sybil_honest
6,5,6,0.9963586351117819,sybil_sybil
7,0,1,0.19294307578422937,sybil_honest
7,0,2,0.24993257318667816,sybil_honest
7,0,3,-0.1492528740297827,sybil_honest
7,0,4,-0.17771073193022266,sybil_honest
7,0,5,0.9960311146290463,sybil_sybil
7,0,6,0.9943210335879037,sybil_sybil
7,1,2,-0.08940623807561984,honest_honest
7,1,3,-0.08030256650634277,honest_honest
7,1,4,0.13510701883376244,honest_honest
7,1,5,0.18403947025485634,sybil_honest
7,1,6,0.21424702103662172,sybil_honest
7,2,3,0.2445298296309663,honest_honest
7,2,4,0.3359106997027798,honest_honest
7,2,5,0.23390987266697094,sybil_honest
7,2,6,0.22534005904880955,sybil_honest
7,3,4,0.22789890827188575,honest_honest
7,3,5,-0.14935679140574687,sybil_honest
7,3,6,-0.1450326594162594,sybil_honest
7,4,5,-0.15633493427186212,sybil_honest
7,4,6,-0.16462025982607978,sybil_honest
7,5,6,0.9927930848122526,sybil_sybil
8,0,1,0.12156045049134159,sybil_honest
8,0,2,0.19618260048181718,sybil_honest
8,0,3,-0.20448618091338883,sybil_honest
8,0,4,-0.18616008792398617,sybil_honest
8,0,5,0.9928554952968603,sybil_sybil
8,0,6,0.9946940877911405,sybil_sybil
8,1,2,-0.14195553674770478,honest_honest
8,1,3,-0.11674554074746131,honest_honest
8,1,4,0.11763966560403633,honest_honest
8,1,5,0.09665383725029134,sybil_honest
8,1,6,0.12120969973723063,sybil_honest
8,2,3,0.22298761888567203,honest_honest
8,2,4,0.30670932514509264,honest_honest
8,2,5,0.1767316313023704,sybil_honest
8,2,6,0.16994554900419873,sybil_honest
8,3,4,0.21684807559826724,honest_honest
8,3,5,-0.1890550883631779,sybil_honest
8,3,6,-0.19919453217049898,sybil_honest
8,4,5,-0.16142474268298868,sybil_honest
8,4,6,-0.17392975423661228,sybil_honest
8,5,6,0.994871279994859,sybil_sybil
9,0,1,0.12283189380194728,sybil_honest
9,0,2,0.1110757846902529,sybil_honest
9,0,3,-0.22631406964135486,sybil_honest
9,0,4,-0.24623126039693538,sybil_honest
9,0,5,0.9949770016686545,sybil_sybil
9,0,6,0.9958351791151596,sybil_sybil
9,1,2,-0.19094997823880708,honest_honest
9,1,3,-0.11242418978897598,honest_honest
9,1,4,0.11742244483441285,honest_honest
9,1,5,0.09311649210451955,sybil_honest
9,1,6,0.11555261157284719,sybil_honest
9,2,3,0.18973657742431266,honest_honest
9,2,4,0.2990839655837924,honest_honest
9,2,5,0.1316525730002538,sybil_honest
9,2,6,0.12419725538277304,sybil_honest
9,3,4,0.1934599049448083,honest_honest
9,3,5,-0.23721546648257125,sybil_honest
9,3,6,-0.257442358551504,sybil_honest
9,4,5,-0.2623713193997915,sybil_honest
9,4,6,-0.24993199391043203,sybil_honest
9,5,6,0.9948798105988912,sybil_sybil
10,0,1,0.08656283294555425,sybil_honest
10,0,2,0.06553239307784478,sybil_honest
10,0,3,-0.26181721236489086,sybil_honest
10,0,4,-0.2631089586823544,sybil_honest
10,0,5,0.9939648829756271,sybil_sybil
10,0,6,0.9919150139855454,sybil_sybil
10,1,2,-0.19519402575973108,honest_honest
10,1,3,-0.12820761501736347,honest_honest
10,1,4,0.0642128919036807,honest_honest
10,1,5,0.059425335500317894,sybil_honest
10,1,6,0.06608208234711786,sybil_honest
10,2,3,0.15695512288255334,honest_honest
10,2,4,0.25633957760769666,honest_honest
10,2,5,0.058180485209042135,sybil_honest
10,2,6,0.10692308103703822,sybil_honest
10,3,4,0.17436835557185265,honest_honest
10,3,5,-0.26739639177109126,sybil_honest
10,3,6,-0.27574320159176874,sybil_honest
10,4,5,-0.24046303750108847,sybil_honest
10,4,6,-0.26740761570560073,sybil_honest
10,5,6,0.9880247642383025,sybil_sybil
